m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
1817.6,1903.9,-1799.7,59.891,1.0518,16768,-1,0.69688,0.090925,845.992562,1571.61212,4041.21041,1580.03797,6038.34094,2028.01149,854.736692,3896.52437,3757.78633,1585.11337,124.007183,0.000315785362,5.26875502E-09,0.999978321,9.866E-12,0.152
1660.2,2093.7,-665.47,54.624,1.1043,14257,-1,0.69512,0.099135,930.618015,1618.13618,4392.41416,1729.56524,5147.13721,1937.12345,1170.95697,4108.86973,3953.93583,1637.86501,122.991474,0.000315799171,3.93524967E-09,0.954612473,9.825E-12,0.832
2032.4,2129.5,-106.82,56.611,1.0545,15964,1,0.5261,0.26881,947.770158,1908.16923,4488.13934,1763.89513,5749.23794,2240.70328,1302.69469,4311.37158,4210.81182,1921.33423,122.180209,0.000316786096,3.9083735E-09,0.950570816,9.789E-12,0.717
2035.9,2131,-105.07,55.858,1.0507,15967,1,0.51701,0.26808,948.380458,1933.61995,4491.31847,1764.99818,5750.06823,2240.66213,1335.73723,4313.74692,4219.08873,1946.53435,122.226508,0.000316657627,3.8511675E-09,0.952852116,9.713E-12,0.813
1803.9,1885.8,-1807.1,59.963,1.055,16757,-1,0.6965,0.10227,837.717702,1539.42992,4005.68577,1564.92402,6033.88782,2001.28929,844.660504,3865.2341,3720.79754,1553.96228,123.804065,0.000315494384,5.2339092E-09,0.926608079,9.703E-12,0.124
1814.7,1895.6,-1805,60.337,1.061,16750,-1,0.71595,0.084275,843.045463,1522.91241,4022.67733,1573.52956,6036.36553,1997.25866,850.191731,3885.09814,3727.28399,1538.69487,123.703079,0.000315415094,5.25064879E-09,0.995567239,9.68E-12,0.12
1812.4,1897.8,-1806.1,60.273,1.0606,16743,-1,0.70844,0.085046,843.806691,1527.74813,4027.49092,1575.20306,6032.32982,1999.73557,848.992211,3887.42654,3732.10919,1543.37379,123.680834,0.000315463925,5.24822677E-09,0.999978531,9.672E-12,0.106
1656.7,2095.5,-665.45,54.822,1.113,14265,-1,0.69329,0.095741,931.449207,1595.09573,4395.78468,1730.94158,5150.28776,1929.73397,1168.99807,4112.41898,3948.04441,1616.33827,122.882842,0.000315736094,3.51120406E-09,0.997275778,9.666E-12,0.967
2034.1,2125.1,-97.584,56.701,1.0612,15948,-1,0.50831,0.27866,945.461129,1881.43719,4480.23848,1760.51862,5743.61909,2245.9287,1282.26034,4307.75552,4201.63746,1896.41584,122.082053,0.000316691835,3.88907549E-09,0.997054236,9.637E-12,0.794
2033.6,2125.1,-101.35,56.25,1.0513,15952,1,0.50852,0.27676,945.712827,1919.27118,4480.06204,1760.34648,5744.46575,2237.65662,1315.31482,4304.32978,4209.83023,1932.52543,122.131689,0.000316694648,3.87417252E-09,0.951768429,9.627E-12,0.784
2027.6,2128.5,-108.19,56.244,1.0606,15969,-1,0.52632,0.26672,946.954803,1890.76928,4485.96376,1762.9479,5751.35973,2241.16942,1301.64222,4309.59233,4202.43679,1905.21951,123.072574,0.000316641037,3.86728134E-09,0.999986077,9.589E-12,0.804
1808.2,1898.5,-1801.9,60.051,1.0575,16753,-1,0.70971,0.09888,844.255771,1534.96203,4027.99753,1575.8764,6036.35671,2001.11662,852.401683,3884.8836,3734.36584,1550.08329,123.783256,0.000315451939,5.19395066E-09,0.995623147,9.589E-12,0.132
