m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
2097.5,1663.5,-3795.7,23.085,1.1427,14403,1,0.53027,0.4823,741.570609,1657.86831,3600.76057,1392.39587,5176.2175,1802.91713,1660.1503,3709.33844,3482.5651,1802.42103,123.303032,0.000314136728,3.22585515E-09,0.989250728,1.827E-12,33.4
1646.3,2397.4,-1427.1,15.908,1.0505,12526,-1,0.5215,0.34562,1069.16189,2099.54578,4975.65486,1984.71286,4521.8987,1921.53048,1849.5353,4536.82193,4478.33174,1921.27773,122.815425,0.000316379892,3.21478188E-09,0.990447936,5.425E-12,21.8
2421.4,2257.2,-5484.3,18.519,1.0577,18123,-1,0.61197,0.15986,1012.1988,2275.60553,4753.94135,1886.46339,6516.48995,2583.05484,2407.80881,4695.29508,4526.2256,2479.38154,126.482925,0.000314442254,3.22941079E-09,0.999997261,1.488E-12,41.4
2804.8,2802.3,-1178.3,44.237,1.0945,12803,1,0.37178,0.27549,667.895655,2863.44494,5809.24834,2339.29471,4636.29992,3038.61298,2293.90859,5622.21101,5541.04673,2873.73988,124.303392,0.000315371395,3.30437571E-09,0.982707807,9.383E-17,726
2928.6,2806.6,2605.7,26.059,1.1047,14759,-1,0.73248,0.096353,1261.54404,1432.33875,5813.33217,2310.69445,5347.12454,3204.69288,2981.13264,5691.28075,5518.12637,3142.25292,124.53375,0.000316026867,3.22301043E-09,0.999369177,1.347E-11,24.6
1402.2,2545.1,1337.2,52.111,1.0407,19495,-1,0.729,0.086295,1134.97971,1803.83295,5232.27549,2090.50959,7049.60685,1790.77976,1171.42204,4685.91727,4573.66257,1788.92647,123.524417,0.000317283151,3.27431517E-09,0.999990197,1.228E-11,1.41
1822.3,2534.6,-5029.1,34.761,1.1266,17699,-1,0.6477,0.2906,1140.28816,1516.67154,5233.35387,2109.86847,6386.33229,1969.81997,1289.9127,4849.84936,4603.45504,1555.96082,125.16977,0.000313979745,3.27242825E-09,0.99923368,1.304E-12,9.72
2468.2,1210.6,-6818.9,13.271,1.1228,18880,-1,0.42924,0.30667,536.282094,1822.13864,2742.97304,1020.38721,6714.42562,1902.46913,1808.6921,3401.03708,3022.94018,1902.14246,125.113738,0.000312436232,3.22372725E-09,0.999997365,9.493E-13,34.4
2896,1902.2,-8557.5,22.445,1.1373,17025,-1,0.65905,0.23386,855.821336,2238.55131,4102.04788,1604.50306,6104.26056,2556.4627,2228.17652,4529.95226,4177.53824,2555.34757,126.056569,0.000312047085,3.23574262E-09,0.999997205,5.416E-13,45.6
2066.2,1137.6,-3486,51.002,1.032,19420,-1,0.56046,0.315,501.865621,1243.74001,2569.60382,954.504339,6930.37975,1867.88325,886.684064,2985.1998,2819.77557,1292.5405,122.859447,0.000303423665,3.84322286E-09,0.997503269,3.261E-12,12.9
2683.8,2977.1,-1650.7,22.758,1.1444,14262,-1,0.68222,0.41164,1349.96587,2824.15671,6114.61648,2490.18782,5168.81188,2927.50776,2800.3195,5813.23319,5642.32223,2857.81348,124.714145,0.000315573016,3.22411989E-09,0.990247014,2.619E-12,50
2218.2,982.3,-2153.2,21.549,1.0686,17053,1,0.64491,0.11533,428.655281,1969.78112,2271.09631,817.499882,6096.20319,2035.0809,1961.29292,2918.46444,2669.46835,2034.82251,122.751249,0.00031051654,3.22955313E-09,0.98830341,6.634E-12,57.7
1831.8,1648.5,-2670.6,38.791,1.0683,19400,-1,0.54588,0.33869,729.941924,1450.27516,3553.2023,1370.09434,6955.90799,1731.68042,1404.45818,3549.12369,3339.42124,1550.71337,122.428397,0.000311867822,3.34604227E-09,0.998870161,3.262E-12,21.4
2656.2,1145.2,-5501.5,54.609,1.1487,18169,1,0.61233,0.17771,509.804453,1071.58117,2612.13298,970.490419,6495.81879,2203.71522,644.821424,3480.80823,3024.5009,1114.79329,123.90481,0.000299124268,3.7962065E-09,0.999990046,1.316E-12,5.4
2160.2,2694.8,631.79,46.539,1.0492,19310,1,0.66313,0.33508,1211.5987,2279.86478,5555.6414,2236.39824,6980.02562,2464.76336,1863.88356,5180.27593,5051.73604,2292.48434,124.406816,0.000315730846,3.33588209E-09,0.980135984,5.49E-12,24.2
1685.3,1617.1,-4297.9,9.4813,1.0552,17574,-1,0.66241,0.20701,714.383541,1657.40603,3481.54901,1341.02901,6300.3889,1676.91974,1648.98051,3427.00366,3238.16873,1676.82183,124.656789,0.000315524269,3.22489661E-09,0.990999646,3.374E-12,22.9
1962.5,2304.9,-1915.4,51.64,1.098,13679,-1,0.72169,0.095554,1031.57539,1913.6059,4809.26553,1914.96562,4944.79784,2232.64049,1312.36054,4540.63397,4398.02018,1927.93428,124.516818,0.000315152467,3.7047231E-09,0.966987428,5.53E-12,5.78
2990.4,2959.1,4581.6,13.593,1.154,18584,-1,0.65068,0.48524,1338.86828,2826.07972,6092.26366,2464.51145,6733.94217,2878.58796,2837.83191,5944.00796,5668.2512,2878.44438,122.972683,0.000316157271,3.22198221E-09,0.991016568,3.235E-12,62.9
2850.3,2883.4,-2420.5,10.638,1.119,14374,-1,0.69366,0.26671,1303.53686,3052.36232,5956.18677,2408.68726,5203.01245,3137.33614,3090.33177,5761.80409,5598.28371,3121.44208,124.812599,0.000316033164,3.22418446E-09,0.99113121,3.975E-12,57.6
2389.3,1647,-318.62,29.358,1.0997,17753,1,0.72104,0.21789,729.358636,2133.76888,3584.94402,1366.34035,6395.07448,2246.63992,2126.85431,3857.79138,3583.35231,2246.22893,122.649647,0.000314098025,3.23488311E-09,0.999228482,7.67E-12,46.3
1487.2,2481.7,-1325.3,17.775,1.0606,15395,-1,0.59911,0.47778,1111.74713,1922.59526,5121.06748,2057.11668,5563.18799,1832.12043,1744.00857,4611.99884,4518.76423,1831.80877,122.575184,0.000316338946,3.22090351E-09,0.990253724,4.583E-12,19.4
2156.3,2292.8,1457.9,60,1.0877,12788,1,0.71198,0.020816,1021.46578,1982.46742,4797.82316,1884.50955,4624.28005,2390.83562,1190.44365,4600.99887,4475.31401,2021.50192,123.624517,0.000322201088,4.64706603E-09,0.99997528,2.403E-11,3.21
1995,2610.6,3652.8,17.902,1.1179,15041,1,0.65741,0.45965,1169.82674,2147.34268,5382.2208,2157.20651,5445.45617,2207.67058,2153.74935,4991.10742,4822.07259,2207.48734,122.240935,0.000316561423,3.21987581E-09,0.999997231,5.313E-12,30
2848.7,2756.7,-408.39,32.748,1.168,18212,1,0.62379,0.31373,1244.71996,2722.91625,5718.01708,2300.62428,6586.90278,2908.61013,2717.83404,5611.09433,5336.05842,2845.71247,123.915461,0.000315196112,3.236219E-09,0.988440745,3.525E-12,58.5
2099.7,2961.4,-1883.7,29.946,1.1596,16958,1,0.7036,0.12886,1337.0655,2366.83721,6050.67056,2461.19366,6143.38455,2521.26807,2214.27338,5569.2288,5335.4451,2383.39872,124.628789,0.000315309257,3.24207265E-09,0.988794058,3.29E-12,40.5
2334,2601.1,-4509.4,26.617,1.0922,13407,-1,0.70795,0.23422,1172.53342,2072.05833,5389.68175,2173.69027,4846.561,2615.7682,2185.0883,5127.70328,4984.15365,2444.85944,126.482219,0.000314604393,3.23958668E-09,0.989406984,1.696E-12,35.9
